ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
114H1,0,1,1,1,1,1,1,1,1,1,1
114H10,0,1,1,1,0,1,1,1,1,1,1
114H11,0,0,0,0,0,0,0,0,0,0,0
114H12,0,1,1,1,1,1,1,1,0,1,0
114H13,0,1,1,1,0,1,1,1,1,1,0
114H14,0,1,1,1,1,1,1,1,1,1,1
114H15,0,1,0,0,0,1,1,1,1,1,0
114H16,0,1,1,1,1,1,1,0,1,1,0
114H17,0,0,0,0,0,1,1,1,1,1,0
114H18,0,1,1,1,1,1,1,1,1,1,1
114H2,0,1,1,1,1,1,1,1,1,1,1
114H20,0,1,1,1,1,1,1,1,1,1,1
114H21,0,1,1,1,0,1,1,1,1,1,1
114H22,0,1,1,1,1,1,1,1,1,1,0
114H23,0,1,1,1,1,1,1,1,1,1,1
114H24,0,1,1,1,1,1,1,1,1,1,1
114H25,0,1,1,1,1,1,1,1,1,1,1
114H26,0,1,1,1,1,1,1,1,1,1,1
114H27,0,1,1,1,1,1,1,1,1,1,1
114H28,0,1,1,1,0,0,0,0,0,0,0
114H29,0,1,1,1,1,1,1,1,1,1,1
114H3,0,1,1,1,1,1,1,1,1,1,1
114H4,0,1,1,1,1,1,1,1,1,1,0
114H5,0,1,1,1,1,1,1,1,1,1,1
114H6,0,1,1,1,1,1,1,1,1,1,1
114H7,0,0,0,0,0,1,1,1,1,1,0
114H9,0,1,1,1,1,1,1,1,1,1,1

