ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
114H1,0,1,1,1,1,1,1,1,1,1,1
114H10,0,1,1,1,0,1,1,1,1,1,1
114H11,0,0,0,0,0,0,0,0,0,0,0
114H12,0,1,1,1,1,1,1,1,0,1,0
114H13,0,1,1,1,0,1,1,1,1,1,0
114H14,0,1,1,1,1,1,1,1,1,1,1
114H15,0,1,0,0,0,1,1,1,1,1,0
114H16,0,1,1,1,1,1,1,0,1,1,0
114H17,0,0,0,0,0,1,1,1,1,1,0
114H18,0,1,1,1,1,1,1,1,1,1,1
114H2,0,1,1,1,1,1,1,1,1,1,1
114H20,0,1,1,1,1,1,1,1,1,1,1
114H21,0,1,1,1,0,1,1,1,1,1,1
114H22,0,1,1,1,1,1,1,1,1,1,0
114H23,0,1,1,1,1,1,1,1,1,1,1
114H24,0,1,1,1,1,1,1,1,1,1,1
114H25,0,1,1,1,1,1,1,1,1,1,1
114H26,0,1,1,1,1,1,1,1,1,1,1
114H27,0,1,1,1,1,1,1,1,1,1,1
114H28,0,1,1,1,0,0,0,0,0,0,0
114H29,0,1,1,1,1,1,1,1,1,1,1
114H3,0,1,1,1,1,1,1,1,1,1,1
114H4,0,1,1,1,1,1,1,1,1,1,0
114H5,0,1,1,1,1,1,1,1,1,1,1
114H6,0,1,1,1,1,1,1,1,1,1,1
114H7,0,0,0,0,0,1,1,1,1,1,0
114H9,0,1,1,1,1,1,1,1,1,1,1
RC7A1,0,1,0,0,0,0,0,0,0,0,0
RC7A10,0,1,1,1,1,1,1,1,1,0,0
RC7A11,0,1,1,1,1,1,1,1,1,1,1
RC7A12,0,1,0,0,0,0,0,0,0,0,0
RC7A13,0,1,1,1,0,0,0,0,0,0,0
RC7A14,0,1,1,1,1,1,1,1,1,1,1
RC7A15,0,1,1,1,1,1,1,1,1,1,1
RC7A16,0,1,0,0,0,1,1,1,1,1,1
RC7A17,0,1,0,0,0,0,0,0,0,0,0
RC7A18,0,1,1,1,1,1,1,1,1,1,1
RC7A19,0,1,0,0,0,0,0,0,0,0,0
RC7A2,0,1,0,0,0,1,1,1,1,1,0
RC7A20,0,1,0,0,0,0,0,0,0,0,0
RC7A21,0,1,0,0,0,1,0,0,0,0,0
RC7A22,0,1,0,0,0,0,0,0,0,0,0
RC7A23,0,1,1,1,1,1,0,0,1,1,0
RC7A25,0,1,0,0,0,0,0,0,0,0,0
RC7A26,0,1,0,0,0,0,0,0,0,0,0
RC7A27,0,0,0,0,0,0,0,0,0,0,0
RC7A29,0,1,0,0,0,1,1,1,1,1,1
RC7A3,0,0,0,0,0,1,1,1,1,1,0
RC7A30,0,1,1,1,1,1,1,1,1,1,1
RC7A31,0,1,1,1,1,1,1,1,1,1,1
RC7A32,0,1,1,1,1,1,1,1,1,1,1
RC7A4,0,1,1,1,0,1,1,1,1,1,1
RC7A5,0,1,0,0,0,0,0,0,0,0,0
RC7A7,0,1,0,0,0,1,1,1,1,1,1
RC7A8,0,1,0,0,0,0,0,0,0,0,0
RC7B1,0,1,0,0,0,0,0,0,0,0,0
RC7B10,0,1,0,0,0,1,1,1,1,1,1
RC7B11,0,1,0,0,0,0,0,0,0,0,0
RC7B12,0,1,1,1,1,1,1,1,1,1,1
RC7B13,0,1,1,1,1,1,1,1,1,1,1
RC7B14,0,1,0,0,0,0,0,0,0,0,0
RC7B15,0,1,1,1,1,1,1,1,1,1,1
RC7B16,0,1,0,0,0,0,0,0,0,0,0
RC7B17,0,1,1,1,1,1,1,1,1,1,0
RC7B18,0,1,1,1,1,1,1,1,1,1,1
RC7B19,0,1,1,1,1,1,1,1,1,1,1
RC7B2,0,1,0,0,0,0,0,0,0,0,0
RC7B20,0,0,0,0,0,0,0,0,0,0,0
RC7B21,0,1,1,1,1,1,1,1,1,1,1
RC7B23,0,1,1,1,0,1,0,1,0,0,0
RC7B24,0,1,1,1,1,1,1,1,1,1,1
RC7B25,0,1,0,0,0,0,0,0,0,0,0
RC7B26,0,1,0,0,0,0,0,0,0,0,0
RC7B27,0,1,1,1,0,1,0,1,0,0,0
RC7B28,0,1,0,0,0,1,1,1,1,1,1
RC7B29,0,1,1,1,1,1,1,1,1,1,1
RC7B3,0,1,1,1,1,1,1,1,1,1,1
RC7B31,0,1,0,0,0,0,0,0,0,0,0
RC7B4,0,1,0,0,0,0,0,0,0,0,0
RC7B5,0,1,1,1,1,1,1,1,1,1,1
RC7B6,0,1,1,1,1,1,1,1,1,1,1
RC7B7,0,1,0,0,0,0,0,0,0,0,0
RC7B8,0,1,0,0,0,0,0,0,0,0,0
RC7B9,0,1,1,1,1,0,0,0,0,0,0
