ID,Error grading project,Background has an image.,There are at least 3 sprites.,Chosen sprite has a loop.,Chosen sprite moves.,Chosen sprite changes costume.,Chosen sprite has a wait block.,Chosen sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
24pandacorn24,0,1,1,1,0,1,1,0,0,0
adastra28,0,1,1,1,1,1,1,1,1,0
birds605,0,1,1,1,1,1,1,1,1,1
blaze703570,0,1,1,1,1,1,1,1,0,0
catsareawesome789,0,1,1,1,1,1,1,1,1,0
christmas3000,0,1,1,1,1,1,1,1,1,0
clover7777,0,1,1,1,1,1,1,1,1,0
doggys332,0,1,1,1,0,1,1,0,0,0
flyingunicorn2468,0,1,1,1,0,1,1,0,1,1
influxmaster21,0,1,1,1,1,1,0,0,0,0
luckystargirl09,0,1,1,0,0,1,1,0,0,0
panda48000,0,1,1,1,1,1,1,1,1,1
penguin88835,0,1,1,1,0,1,1,0,1,1
redhero59,0,1,1,1,1,1,1,1,0,0
schoolno3411,0,1,1,1,1,1,1,1,1,0
shark730,0,1,1,1,1,1,1,1,1,1
turtleshavetails123,0,1,1,1,0,1,1,0,0,0
unicorn5087,0,1,1,1,1,1,1,1,0,0
