ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
311692317,0,1,1,1,1,1,1,1,1,1
311692355,0,1,1,1,1,1,1,1,1,1
311692586,0,1,1,1,1,1,1,1,1,1
311692748,0,1,1,1,0,1,1,0,1,1
311692947,0,1,1,1,1,1,1,1,1,0
311692990,0,1,1,1,1,1,1,1,0,0
311693037,0,1,1,1,1,1,1,1,1,1
311693157,0,1,1,1,1,1,1,1,1,1
311693218,0,1,1,1,0,1,1,0,0,0
311693266,0,1,1,1,1,1,1,1,1,1
311693398,0,1,1,1,1,1,1,1,1,1
311693618,0,1,1,1,1,1,1,1,1,1
311693687,0,1,1,1,1,1,0,0,0,0
311694409,0,1,1,1,1,1,1,1,1,0
311694694,0,1,1,0,0,1,1,0,0,0
311694737,0,1,1,1,0,1,1,0,1,1
311694807,0,1,1,1,1,1,1,1,1,1
311695481,0,1,1,0,1,1,1,0,0,0
311695498,0,1,1,1,1,1,1,1,1,1
311695588,0,1,1,1,0,1,1,0,1,1
311698960,0,1,1,1,0,1,1,0,1,1
311699409,0,1,1,1,1,1,1,1,1,1
311703512,0,1,1,1,0,1,1,0,1,1
313587983,0,1,1,1,1,1,1,1,1,0
313590989,0,1,1,1,1,1,1,1,1,0
313591688,0,1,1,1,0,1,1,0,0,0
313593123,0,1,1,0,1,0,0,0,0,0
