ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
291700420,0,1,1,1,1,1,1,1,1,1
291700537,0,1,1,1,1,1,1,1,1,1
291700555,0,1,1,1,1,1,1,1,1,1
291700561,0,1,1,1,1,1,1,1,1,0
291700569,0,1,1,1,1,1,1,1,0,0
291700584,0,1,1,1,0,1,1,0,1,1
291700596,0,1,1,1,1,1,1,1,1,1
291700603,0,1,1,1,1,1,1,1,1,0
291700614,0,1,1,1,1,1,1,1,1,0
291700648,0,1,1,1,0,1,1,0,1,1
291700671,0,1,1,1,1,1,1,1,1,1
291700707,0,1,1,1,1,1,1,1,1,1
291700727,0,1,1,1,0,1,1,0,1,1
291700747,0,1,1,1,1,1,1,1,1,1
291700774,0,1,1,1,1,1,1,1,1,1
291700849,0,1,1,1,0,1,1,0,1,1
291701005,0,1,1,1,1,1,1,1,1,1
291701097,0,1,1,0,1,1,1,0,0,0
291701202,0,1,1,1,1,1,1,1,1,1
291701207,0,1,1,1,0,1,0,0,0,0
291701208,0,1,1,1,1,1,1,1,1,1
291701235,0,1,1,1,1,1,1,1,1,1
291701285,0,1,1,0,0,0,0,0,0,0
291701319,0,1,1,1,0,1,1,0,1,1
291701344,0,1,1,1,0,1,1,0,1,1
291701385,0,1,1,1,1,1,1,1,0,0
291701417,0,1,1,1,1,1,1,1,1,1
291701557,0,1,1,1,1,1,1,1,0,0
291702391,0,1,1,1,1,1,1,1,1,1
