ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
319654510,0,1,1,1,1,1,1,1,1,1
319654565,0,1,1,1,1,1,1,1,1,1
319654584,0,1,1,1,0,1,1,0,1,1
319654623,0,1,1,1,1,0,1,0,1,0
319654654,0,1,1,0,0,1,0,0,0,0
319654784,0,1,1,1,0,1,1,0,1,1
319655103,0,1,1,1,1,1,1,1,1,1
319655155,0,1,1,0,0,0,0,0,0,0
319655201,0,1,1,1,0,1,1,0,1,1
319655238,0,1,1,1,1,1,1,1,1,1
319655262,0,1,1,1,1,1,1,1,0,0
319655288,0,1,1,1,0,1,1,0,1,1
319655346,0,1,1,1,0,1,1,0,1,0
319655385,0,1,0,1,0,1,1,0,0,0
319655424,0,1,1,1,0,1,1,0,1,1
319655447,0,1,1,1,1,1,1,1,1,1
319655473,0,1,1,1,1,1,1,1,1,1
319655511,0,0,1,0,0,1,1,0,0,0
