ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
312419794,0,1,1,1,1,1,1,1,1,1
312419874,0,1,1,1,0,1,1,0,0,0
312420001,0,1,1,1,0,1,1,0,0,0
312420205,0,1,1,0,0,0,0,0,0,0
312420238,0,1,0,0,0,0,0,0,0,0
312420335,0,1,1,1,1,1,1,1,1,0
312420381,0,1,1,1,0,1,1,0,0,0
312420403,0,1,0,0,0,1,0,0,0,0
312420664,0,1,0,0,0,0,0,0,0,0
312420769,0,1,1,0,0,1,0,0,0,0
312420923,0,1,1,1,0,0,1,0,0,0
312421802,0,1,1,0,0,1,1,0,0,0
312421821,0,1,1,1,1,1,1,1,1,1
312422249,0,1,0,0,0,0,0,0,0,0
312422517,0,1,0,0,0,1,1,0,0,0
312422743,0,1,1,1,1,1,1,1,1,0
312423477,0,1,1,0,0,1,1,0,0,0
312423518,0,1,1,0,1,1,1,0,0,0
312423617,0,1,1,0,0,1,0,0,0,0
312427602,0,1,1,1,1,1,1,1,0,0
