ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
307500316,0,1,1,1,0,1,1,0,1,1
307500618,0,1,1,0,1,0,0,0,0,0
307500624,0,1,1,1,1,0,1,0,0,0
307500731,0,1,1,1,1,0,0,0,0,0
307500814,0,1,1,1,1,1,1,1,1,1
307500930,0,1,1,1,0,1,1,0,0,0
307500971,0,1,1,1,0,1,1,0,1,0
307501012,0,1,1,0,1,0,0,0,0,0
307501151,0,1,1,1,1,1,1,1,0,0
307501155,0,1,1,0,0,1,0,0,0,0
307501160,0,1,1,0,0,1,1,0,0,0
307501167,0,1,1,0,1,1,0,0,0,0
307501168,0,1,1,1,1,1,1,1,0,0
307501173,0,1,1,1,1,1,1,1,1,0
307501182,0,1,1,1,1,1,1,1,1,1
307501319,0,1,1,1,1,1,0,0,0,0
307501335,0,1,1,1,1,0,0,0,0,0
307501662,0,1,1,1,1,0,1,0,0,0
307501793,0,1,1,1,1,1,1,1,1,0
307516116,0,1,1,1,0,1,1,0,0,0
307519418,0,1,1,1,1,1,1,1,1,1
