ID,Error grading project,Background has an image.,There are at least 3 sprites.,Chosen sprite has a loop.,Chosen sprite moves.,Chosen sprite changes costume.,Chosen sprite has a wait block.,Chosen sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
114H1,0,1,1,1,1,1,1,1,1,1
114H10,0,1,1,1,1,1,1,1,0,0
114H11,0,1,1,1,1,1,1,1,0,0
114H12,0,1,1,1,1,1,1,1,0,0
114H13,0,1,1,1,0,1,1,0,0,0
114H14,0,1,1,1,1,1,1,1,0,0
114H15,0,1,1,1,0,1,1,0,0,0
114H16,0,1,1,1,1,1,1,1,0,0
114H17,0,1,1,1,1,1,1,1,1,0
114H18,0,1,1,1,1,1,1,1,0,0
114H2,0,1,1,1,1,1,1,1,0,0
114H20,0,1,1,1,1,1,1,1,0,0
114H21,0,1,1,1,1,1,1,1,0,0
114H22,0,1,1,0,1,1,1,0,0,0
114H23,0,1,1,1,1,1,1,1,1,0
114H24,0,1,1,1,0,1,1,0,0,0
114H25,0,1,1,1,1,1,1,1,0,0
114H26,0,1,1,1,0,1,1,0,0,0
114H27,0,1,1,1,1,1,1,1,1,1
114H28,0,1,1,1,0,1,1,0,0,0
114H29,0,1,1,1,0,1,1,0,0,0
114H3,0,1,1,1,0,1,1,0,1,0
114H4,0,1,1,1,0,1,1,0,1,1
114H5,0,1,1,0,1,1,1,0,0,0
114H6,0,1,1,1,1,1,1,1,1,1
114H7,0,1,1,1,0,1,0,0,0,0
114H8,0,1,1,1,0,1,1,0,0,0
114H9,0,1,1,1,0,1,1,0,0,0
RC7A1,0,1,1,0,0,0,1,0,0,0
RC7A10,0,1,1,0,0,1,1,0,0,0
RC7A11,0,1,1,1,1,0,1,0,1,1
RC7A12,0,1,1,0,0,0,0,0,0,0
RC7A14,0,1,1,1,1,0,1,0,0,0
RC7A15,0,1,1,1,1,1,1,1,1,1
RC7A16,0,1,1,0,1,0,0,0,0,0
RC7A17,0,1,1,1,1,1,1,1,0,0
RC7A18,0,1,1,1,0,1,1,0,0,0
RC7A19,0,1,1,0,0,0,0,0,0,0
RC7A20,0,1,1,1,0,1,1,0,1,0
RC7A23,0,1,1,1,1,1,1,1,0,0
RC7A24,0,1,1,0,0,1,1,0,0,0
RC7A25,0,1,1,0,0,0,0,0,0,0
RC7A26,0,1,1,0,1,1,0,0,0,0
RC7A27,0,1,1,1,1,1,1,1,1,0
RC7A28,0,1,1,0,0,1,1,0,0,0
RC7A3,0,1,0,1,0,1,1,0,0,0
RC7A31,0,1,1,1,0,1,1,0,1,1
RC7A32,0,1,1,0,0,1,1,0,0,0
RC7A7,0,1,1,1,0,1,0,0,0,0
RC7A8,0,1,1,1,0,1,1,0,0,0
RC7A9,0,1,1,1,0,1,0,0,0,0
RC7B1,0,1,1,0,1,0,0,0,0,0
RC7B10,0,1,0,1,1,1,1,1,0,0
RC7B12,0,1,1,1,0,1,1,0,0,0
RC7B13,0,1,1,1,0,1,1,0,0,0
RC7B15,0,1,1,0,0,1,0,0,0,0
RC7B16,0,1,1,0,0,0,0,0,0,0
RC7B17,0,1,1,0,0,0,0,0,0,0
RC7B18,0,1,1,1,0,1,1,0,1,0
RC7B19,0,1,1,1,0,1,1,0,1,1
RC7B2,0,1,1,0,0,0,0,0,0,0
RC7B20,0,1,1,1,0,1,1,0,1,0
