ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
280167730,0,1,1,1,1
280168240,0,1,1,1,0
280170273,0,1,0,0,0
280171561,0,1,1,1,1
280171652,0,1,1,1,1
280171678,0,1,0,0,0
280171945,0,1,1,1,1
280171968,0,1,0,0,0
280172190,0,1,1,1,1
280173202,0,1,1,1,1
280173336,0,1,1,1,1
280173796,0,1,1,0,1
280174383,0,1,1,0,0
280174601,0,1,0,0,0
280175353,0,1,1,1,1
280175505,0,1,0,0,0
280175971,0,1,1,1,1
280175992,0,1,1,0,0
280176027,0,1,1,1,1
284954117,0,1,1,1,1
284954215,0,1,1,1,0
284954701,0,1,1,1,1
284954863,0,1,0,0,0
284955543,0,1,1,1,1
284955999,0,1,1,1,1
284960521,0,1,1,1,1
284960622,0,1,1,1,1
284964314,0,1,0,0,0
286689130,0,0,0,0,0
286692062,0,1,1,1,0
286695329,0,1,0,0,0
