ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
289668093,0,1,0,0,0
289672746,0,1,1,0,0
289672776,0,1,0,0,0
289672805,0,1,1,1,1
289672831,0,1,1,1,1
289672949,0,1,0,0,0
289672956,0,1,1,1,1
289673013,0,0,0,0,0
289673030,0,0,0,0,0
289673086,0,1,1,0,0
289673094,0,1,0,0,0
289673138,0,1,1,1,1
289673153,0,0,0,0,0
289673158,0,1,1,1,1
289673196,0,0,0,0,0
289673274,0,0,0,0,0
289673649,0,0,0,0,0
289673960,0,0,0,0,0
289675434,0,0,0,0,0
289679733,0,1,1,1,1
289680440,0,1,0,0,0
289680692,0,1,0,0,0
291463954,0,0,0,0,0
291464412,0,1,1,1,1
