ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
295549080,0,1,1,0,1
295549450,0,1,1,0,0
295549579,0,1,1,1,1
295551993,0,1,0,0,0
295554862,0,0,0,0,0
295558054,0,1,1,1,1
295560418,0,1,1,0,0
295560725,0,1,1,1,1
295560974,0,1,1,1,1
295561783,0,1,0,0,0
295562249,0,1,1,1,1
295562254,0,1,1,1,1
295562440,0,1,1,1,1
295562497,0,0,0,0,0
295563488,0,1,1,0,1
295563593,0,1,1,0,0
295563596,0,1,1,0,1
295563635,0,1,1,1,0
295563945,0,1,0,0,0
295564104,0,1,0,0,0
295564379,0,1,0,0,0
295564572,0,1,1,0,0
295564608,0,1,1,1,1
295564674,0,1,1,0,1
295564894,0,0,0,0,0
295564933,0,1,0,0,0
295564942,0,1,1,1,1
295565097,0,0,0,0,0
295565930,0,0,0,0,0
295565990,0,0,0,0,0
