ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
RC7A10,0,1,1,1,1,1,1,1,1,1,0,0,0,0
RC7A11,0,1,1,0,1,0,1,0,1,0,1,0,1,0
RC7A12,0,1,1,1,1,1,0,0,0,0,0,0,0,0
RC7A13,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RC7A14,0,1,1,1,1,0,1,0,0,0,0,0,0,0
RC7A15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RC7A16,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
RC7A18,0,1,1,1,1,1,1,1,1,0,1,1,1,0
RC7A19,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A2,0,1,1,0,1,0,1,0,0,0,0,0,0,0
RC7A21,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RC7A23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7A24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7A25,0,1,1,1,1,1,1,0,0,0,1,0,0,0
RC7A26,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A27,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A28,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A3,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A30,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RC7A31,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7A32,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7A4,0,1,1,1,1,0,1,0,0,0,0,0,0,0
RC7A5,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A6,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A7,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7A8,0,1,1,1,1,1,0,0,0,0,0,0,0,0
RC7A9,0,1,1,1,1,1,1,1,1,1,1,1,1,1

