ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
286687460,0,1,1,1,0
286690719,0,1,1,1,1
286690720,0,1,1,0,0
286690722,0,0,0,0,0
286690725,0,1,1,1,1
286690728,0,1,0,0,0
286690737,0,1,1,1,0
286690741,0,1,1,1,1
286690742,0,1,1,0,1
286690747,0,0,0,0,0
286690749,0,1,1,1,1
286690755,0,1,1,0,1
286690756,0,1,1,0,0
286690757,0,1,1,0,0
286690760,0,1,1,1,1
286690762,0,1,1,0,1
286690767,0,1,1,1,1
286690771,0,0,0,0,0
286690774,0,0,0,0,0
286690777,0,1,1,0,1
286690785,0,1,1,0,0
286690786,0,0,0,0,0
286690788,0,1,1,1,1
286690797,0,1,1,0,1
286690803,0,1,1,1,1
286690827,0,1,1,0,0
286690845,0,1,1,1,1
286690902,0,1,1,1,1
