ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
001JCL08,0,1,1,1,1,1,1,1,0,1,1,1,1,1
07JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
08JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
11JCL08,0,1,1,1,1,1,1,0,1,0,1,0,1,0
12JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15JCL08,0,1,1,1,1,1,1,0,0,0,1,0,0,0
16JCL08,0,1,1,1,1,1,1,1,1,1,1,1,0,0
22JCL08,0,1,1,1,1,1,1,1,0,1,1,1,0,1
23JCL08,0,1,1,1,1,1,1,0,0,0,1,1,1,1
24JCL08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25JCL08,0,1,1,1,1,1,1,0,0,0,1,1,1,1
28JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
29JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30JCL08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32JCL08,0,1,1,1,1,1,1,0,0,0,1,1,1,1
11JCL220,1
13JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14JCL220,0,1,1,1,1,1,1,1,0,1,1,1,0,1
16JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17JCL220,0,1,1,0,0,0,1,0,0,0,1,0,0,0
18JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
25JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
26JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2JCL220,0,1,1,1,1,1,1,0,0,0,1,1,1,1
30JCL220,0,1,1,0,0,0,1,0,0,0,1,0,0,0
31JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32JC220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33JCL220,0,1,1,1,1,1,1,1,0,1,1,1,1,1
34JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10JCL06,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
12JCL06,0,1,1,1,1,1,0,0,0,0,1,1,0,1
13JCL06,0,1,1,1,1,1,1,0,0,0,1,1,1,1
14JCL06,0,1,1,1,1,1,1,0,1,0,0,0,0,0
15JCL06,0,1,1,1,1,1,1,0,0,0,1,1,0,0
16JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17JCL06,0,1,1,1,1,1,1,0,1,0,1,0,1,0
18JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCL06,0,1,1,0,1,0,1,0,1,0,1,0,1,0
20JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24JCL06,0,1,1,0,0,0,1,0,0,0,1,0,0,0
26JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27JCL06,0,1,1,0,1,0,1,0,0,0,1,0,1,0
28JCL06,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2JCL06,0,1,1,1,1,1,1,0,0,0,1,1,1,0
30JCL06,0,1,1,1,0,1,1,1,0,1,1,1,0,0
31JCL06,0,1,1,0,1,0,1,0,1,0,1,0,1,0
32JCL06,0,1,1,1,1,1,1,1,0,1,1,1,0,1
3JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6JCL06,0,1,1,1,1,1,1,1,1,0,1,1,1,1
7JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
11JCL219,0,1,1,1,1,1,1,1,0,1,1,1,1,1
12JCL219,0,1,1,1,1,1,1,0,0,0,1,1,1,1
13JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17JCL219,0,1,1,1,1,1,1,1,0,1,1,1,0,1
18JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19JCL219,0,1,1,1,1,1,1,0,0,0,1,1,1,1
1JCL219,0,1,1,1,1,1,1,1,0,1,1,1,1,1
22JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
23JCL219,0,1,1,1,1,1,1,0,0,0,0,0,0,0
24JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25JCL219,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26JCL219,0,1,1,1,0,1,1,0,0,0,1,1,0,0
2JCL219,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4JCL219,0,1,1,1,1,0,1,0,0,0,1,1,0,0
6JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,0
7JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9JCL219,0,1,1,1,1,1,1,1,0,1,1,1,1,1
11JCL216,0,1,1,1,1,1,1,1,1,1,1,1,1,1
12JCL216,0,1,1,1,1,1,1,1,0,1,1,1,1,1
14JCL216,0,1,1,1,1,1,1,0,0,0,0,0,0,0
15JCL216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17JCL216,0,1,1,1,1,1,1,0,0,0,0,0,0,0
18JCL216,0,1,1,1,1,1,1,0,0,0,1,1,1,0
19JCL216,0,1,1,1,1,1,1,0,0,0,1,1,1,1
22JCL216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26JCL216,0,1,1,1,1,1,1,1,1,1,1,1,1,0
27JCL216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28JCL216,0,1,1,1,1,1,1,1,0,1,1,1,0,1
29JCL216,0,1,1,1,1,1,1,1,1,0,1,1,1,0
31JCL216,0,1,1,1,1,1,1,1,0,1,1,1,0,1
32JCL216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5JCL216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8JCL216,0,1,1,1,1,1,1,1,1,1,1,1,1,1
