ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
5thLRG1,0,1,1,1,1,0,1,1,0
5thLRG10,0,1,1,1,1,1,1,1,1
5thLRG11,0,1,1,1,1,1,1,1,1
5thLRG12,0,1,1,1,1,1,1,1,1
5thLRG13,0,1,1,1,1,1,1,1,1
5thLRG14,0,1,1,1,0,0,1,0,0
5thLRG15,0,1,1,0,1,0,0,1,0
5thLRG16,0,0,1,1,1,1,1,1,1
5thLRG18,0,1,1,1,1,1,1,1,1
5thLRG19,0,1,1,1,1,1,1,1,1
5thLRG2,0,1,1,1,1,1,1,1,1
5thLRG20,0,1,1,1,1,1,1,1,1
5thLRG21,0,1,1,1,1,1,1,1,1
5thLRG22,0,1,1,1,1,1,1,1,1
5thLRG23,0,0,1,1,1,1,1,1,1
5thLRG25,0,0,1,0,0,1,0,0,1
5thLRG26,0,1,1,0,0,0,0,0,0
5thLRG27,0,1,1,1,1,1,1,1,1
5thLRG28,0,1,1,1,1,1,1,1,1
5thLRG29,0,0,1,1,1,1,1,1,1
5thLRG3,0,1,1,1,1,1,1,1,1
5thLRG30,0,1,1,1,1,1,1,1,1
5thLRG31,0,1,1,0,1,1,0,1,1
5thLRG4,0,0,1,1,1,1,1,1,1
5thLRG5,0,0,1,1,1,1,1,1,1
5thLRG6,0,1,1,1,1,1,1,1,1
5thLRG7,0,1,1,0,0,0,0,0,0
5thLRG8,0,1,1,1,1,1,1,1,1
5thLRG9,0,1,1,1,1,1,1,1,1
