ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
283057589,0,1,1,1,0,0,1,0,0,0
293375117,0,1,1,1,1,1,1,1,1,1
294334978,0,1,1,1,1,1,1,1,1,0
294334998,0,1,1,1,1,1,1,1,1,1
294335082,0,1,1,1,1,1,1,1,1,1
294335284,0,0,1,0,0,0,0,0,0,0
294336019,0,1,1,1,1,1,1,1,1,1
294336278,0,1,1,0,0,0,0,0,0,1
294336370,0,1,1,1,0,0,1,0,0,1
294337651,0,1,1,0,0,0,0,0,0,0
294337850,0,1,1,1,1,1,1,1,1,1
294339075,0,1,1,1,1,1,1,1,1,1
294339670,0,1,1,1,1,1,1,1,1,1
294340467,0,1,1,1,0,0,1,0,0,0
294340609,0,1,1,1,0,0,1,1,1,1
294340750,0,1,1,1,1,0,1,1,0,1
294340817,0,1,1,1,1,1,1,1,1,1
294342342,0,1,1,1,1,1,1,1,1,1
294343430,0,1,1,0,0,0,0,0,0,0
294343567,0,1,1,1,1,1,1,1,1,1
294345730,0,1,1,0,0,0,0,0,0,0
294346087,0,1,1,1,1,1,1,1,1,1
295272209,0,1,1,1,1,0,1,1,0,1
295272333,0,1,1,1,1,1,1,1,1,1
295272338,0,1,1,1,1,1,1,1,1,1
295273183,0,1,1,1,1,1,1,1,1,1
295278371,0,1,1,1,1,1,1,1,1,1
297404577,0,1,1,0,0,0,0,0,0,0
