ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
295514725,0,1,1,1,1,0,1,1,0,0
295516082,0,1,1,1,1,1,1,1,1,0
295516957,0,1,1,0,0,0,0,0,0,0
295519656,0,1,0,0,0,0,0,0,0,0
295520741,0,1,1,1,0,0,1,0,0,0
295520957,0,1,1,0,0,0,0,0,0,0
295524034,0,1,0,0,0,0,0,0,0,0
295524181,0,1,1,1,1,0,1,1,0,0
295524533,0,1,0,0,0,0,0,0,0,0
295525241,0,1,0,1,0,0,1,0,0,0
295525522,0,1,1,0,0,0,0,0,0,0
295526636,0,1,0,0,0,0,0,0,0,0
295528436,0,1,1,0,0,0,0,0,0,0
295532330,0,1,1,1,1,1,1,1,1,1
296012170,0,1,1,0,0,0,0,0,0,0
296015335,0,1,0,0,0,0,0,0,0,0
296015857,0,1,0,0,0,0,0,0,0,0
296016026,0,1,0,1,0,0,1,0,0,0
296016438,0,1,0,0,0,0,0,0,0,0
296026571,0,1,1,1,0,0,1,0,0,0
