ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
293036518,0,1,1,0,0,0,0,0,0,0
293038019,0,1,1,1,1,1,1,1,1,1
293039585,0,1,0,0,0,0,0,0,0,0
293040137,0,1,1,1,1,0,1,1,0,1
293040261,0,1,1,1,1,0,1,1,0,0
293040292,0,1,1,1,1,0,1,1,0,1
293040374,0,1,1,0,0,0,0,0,0,0
293040381,0,1,1,0,0,0,0,0,0,0
293040549,0,1,1,0,0,0,0,0,0,0
293040754,0,1,1,1,1,1,1,1,1,1
293041732,0,1,1,0,0,0,0,0,0,0
293042423,0,1,1,1,1,1,1,1,1,1
293042732,0,1,0,0,0,0,0,0,0,0
293045096,0,1,1,0,0,0,0,0,0,0
293045131,0,1,1,1,1,1,1,1,1,1
293045142,0,1,1,1,1,1,1,1,1,0
293045536,0,1,1,1,0,0,1,0,0,0
293045608,0,1,0,0,0,0,0,0,0,0
293045611,0,1,1,0,0,0,0,0,0,0
293045746,0,1,0,0,0,0,0,0,0,0
293046125,0,1,1,1,1,0,1,1,0,1
293046266,0,1,1,0,0,0,0,0,0,0
293046332,0,1,1,0,0,0,0,0,0,1
293047480,0,1,1,0,0,0,0,0,0,0
293047532,0,1,1,0,0,0,0,0,0,0
293047585,0,1,0,0,0,0,0,0,0,0
293048406,0,1,1,0,0,0,0,0,0,0
293048528,0,1,1,1,0,0,1,0,0,0
