ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
288145627,0,1,1,1,1,1,1,1,1,1
288145706,0,1,1,1,1,1,1,1,1,1
288145740,0,0,0,0,0,0,0,0,0,0
288145786,0,1,1,1,1,0,1,0,0,0
288145793,0,1,1,1,1,1,1,1,1,1
288145810,0,1,1,1,1,1,1,1,1,1
288145814,0,1,1,1,1,1,1,1,1,1
288145832,0,1,1,1,0,0,1,0,0,1
288145843,0,1,1,1,1,1,1,1,1,1
288145844,0,1,1,1,1,0,1,1,1,1
288145861,0,1,1,0,0,0,0,0,0,0
288145877,0,1,1,0,0,0,0,0,0,0
288145880,0,1,1,1,1,1,1,1,1,0
288145882,0,1,1,1,1,1,1,1,1,1
288145909,0,1,1,1,1,1,1,1,0,1
288146012,0,1,1,1,1,1,1,1,1,1
288146023,0,0,0,0,0,0,0,0,0,0
288146051,0,0,0,0,0,0,0,0,0,0
288146100,0,1,1,0,0,0,0,0,0,0
288146905,0,0,1,1,1,0,1,1,0,1
288146928,0,0,0,0,0,0,0,0,0,0
288146943,0,1,1,1,0,0,1,0,0,0
288146966,0,1,1,1,1,1,1,1,1,1
288147251,0,1,1,0,0,0,0,0,0,0
288147880,0,1,1,0,0,0,0,0,0,0
