ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
001JCL08,0,1,1,0,0,0,0,0,0
11JCL08,0,1,1,1,0,0,1,0,0
12JCL08,0,1,1,0,0,0,0,0,0
16JCL08,0,1,1,0,0,0,0,0,0
22JCL08,0,1,1,0,0,0,0,0,0
25JCL08,0,1,1,1,1,1,1,1,1
26JCL08,0,1,1,0,0,0,0,0,0
27JCL08,0,0,1,1,1,1,1,1,1
28JCL08,0,0,1,0,1,1,0,1,1
30JCL08,0,1,1,1,0,0,1,0,0
31JCL08,0,1,1,0,0,0,0,0,0
32JCL08,0,1,1,0,0,0,0,0,0
MrsKBaut,0,1,1,1,1,1,1,1,1
13JCL220,0,1,0,0,0,0,0,0,0
15JCL220,0,1,0,0,0,0,0,0,0
16JCL220,0,1,1,1,0,1,1,0,1
18JCL220,0,1,1,0,0,0,0,0,0
1JCL220,0,1,1,0,0,0,0,0,0
21JCL220,0,1,0,1,0,0,1,0,0
24JCL220,0,1,1,0,0,0,0,0,0
25JCL220,0,0,0,1,0,0,1,0,0
26JCL220,0,0,1,1,1,1,1,1,1
27JCL220,0,0,0,0,0,0,0,0,0
29JCL220,0,1,1,0,0,0,0,0,0
2JCL220,0,1,0,0,0,0,0,0,0
30JCL220,0,1,0,0,0,0,0,0,0
31JCL220,0,1,1,0,0,0,0,0,0
33JCL220,0,1,0,0,0,0,0,0,0
34JCL220,0,1,1,1,1,0,1,1,0
7JCL220,0,1,0,0,0,0,0,0,0
8JCL220,0,1,1,1,1,1,1,1,1
9JCL220,0,1,1,0,0,0,0,0,0
10JCL06,0,1,1,1,1,1,1,1,1
11JCL06,0,1,1,0,1,1,0,1,1
12JCL06,0,1,1,0,0,0,0,0,0
13JCL06,0,1,1,1,1,1,1,1,1
14JCL06,0,1,0,0,0,0,0,0,0
15JCL06,0,1,1,0,0,0,0,0,0
16JCL06,0,1,1,1,1,1,1,1,1
17JCL06,0,1,1,1,0,0,1,0,0
18JCL06,0,1,1,0,0,0,0,0,0
19JCL06,0,1,1,1,1,1,1,1,1
1JCL06,0,1,1,1,1,1,1,1,1
20JCL06,0,1,1,1,1,1,1,1,1
21JCL06,0,1,1,1,0,0,1,0,0
22JCL06,0,0,1,1,0,0,1,0,0
23JCL06,0,0,1,1,1,1,1,1,1
24JCL06,0,1,1,1,1,1,1,1,1
25JCL06,0,1,0,1,0,0,1,0,0
26JCL06,0,0,0,1,1,0,1,1,0
27JCL06,0,1,1,0,0,0,0,0,0
28JCL06,0,1,1,0,0,0,0,0,0
29JCL06,0,1,1,0,0,0,0,0,0
2JCL06,0,0,1,0,0,1,0,0,1
30JCL06,0,1,1,1,0,0,1,0,0
31JCL06,0,1,0,1,0,0,1,0,0
32JCL06,0,1,1,1,0,1,1,0,1
3JCL06,0,0,0,0,0,0,0,0,0
4JCL06,0,1,0,1,0,0,1,0,0
5JCL06,0,1,1,1,0,1,1,0,1
6JCL06,0,0,0,1,0,0,1,0,0
7JCL06,0,1,1,1,1,1,1,1,1
8JCL06,0,1,1,1,1,1,1,1,1
9JCL06,0,1,1,0,0,0,0,0,0
10JCL219,0,1,1,0,0,0,0,0,0
11JCL219,0,1,1,0,0,0,0,0,0
12JCL219,0,1,1,1,0,1,1,0,1
13JCL219,0,1,1,1,1,1,1,1,1
14JCL219,0,1,1,1,1,1,1,1,1
15JCL219,0,1,1,1,0,0,1,0,0
16JCL219,0,1,1,0,0,0,0,0,0
17JCL219,0,1,1,0,0,0,0,0,0
18JCL219,0,1,1,0,0,1,0,0,1
19JCL219,0,1,0,1,0,0,1,0,0
1JCL219,0,1,1,1,1,1,1,1,1
20JCL219,0,1,0,1,1,0,1,1,0
22JCL219,0,1,1,1,0,0,1,0,0
24JCL219,0,1,0,1,0,0,1,0,0
25JCL219,0,1,1,0,0,0,0,0,0
26JCL219,0,0,1,0,0,0,0,0,0
2JCL219,0,1,0,0,0,0,0,0,0
4JCL219,0,1,1,0,0,0,0,0,0
6JCL219,0,1,1,1,1,0,1,1,0
7JCL219,0,1,0,1,0,0,1,0,0
8JCL219,0,1,1,0,0,0,0,0,0
10JCL216,0,1,1,0,0,0,0,0,0
11JCL216,0,1,1,0,0,0,0,0,0
12JCL216,0,1,1,0,0,0,0,0,0
13JCL216,0,1,1,0,0,0,0,0,0
15JCL216,0,1,1,0,1,0,0,1,0
16JCL216,0,0,1,0,0,0,0,0,0
18JCL216,0,0,1,0,0,1,0,0,1
21JCL216,0,1,1,0,0,0,0,0,0
22JCL216,0,1,1,0,0,0,0,0,0
23JCL216,0,1,1,1,0,1,1,0,1
26JCL216,0,1,1,1,0,0,1,0,0
27JCL216,0,1,1,1,1,1,1,1,1
28JCL216,0,0,1,1,1,0,1,1,0
29JCL216,0,1,1,0,0,0,0,0,0
2JCL216,0,1,1,0,1,1,0,1,1
31JCL216,0,1,1,1,1,0,1,1,0
32JCL216,0,1,1,0,0,0,0,0,0
3JCL216,0,1,0,1,0,0,1,0,0
5JCL216,0,1,1,0,0,0,0,0,0
7JCL216,0,1,0,0,0,0,0,0,0
8JCL216,0,1,1,0,0,0,0,0,0
9JCL216,0,1,1,1,1,1,1,1,1
