ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
10JCL210,0,0,0,0,0,0,0,0,0,0,0
11JCL210,0,1,1,1,1,1,1,1,1,1,1
12JCL210,0,1,0,0,0,0,0,0,0,0,0
16JCL210,0,1,1,1,1,0,0,0,0,0,0
1JCL210,0,1,0,0,0,1,0,1,1,1,0
2JCL210,0,1,1,1,1,1,1,1,1,1,1
3JCL210,0,0,0,0,0,0,0,0,0,0,0
7JCL210,0,1,1,1,1,1,1,1,1,1,1
9JCL210,0,1,0,0,0,1,0,1,1,0,0
10JCL210,0,0,0,0,0,0,0,0,0,0,0
12JCL210,0,1,0,0,0,0,0,0,0,0,0
13JCL210,0,1,0,0,0,1,0,0,1,1,0
14JCL210,0,1,0,0,0,1,1,1,1,1,1
16JCL210,0,1,1,1,1,0,0,0,0,0,0
17JCL210,0,0,0,0,0,0,0,0,0,0,0
25JCL210,0,0,0,0,0,0,0,0,0,0,0
26JCL210,0,1,1,1,1,1,1,1,1,1,1
33JCL210,0,1,0,0,0,1,0,0,1,1,0
3JCL210,0,0,0,0,0,0,0,0,0,0,0
6JCL210,0,1,0,0,0,1,1,1,1,1,1
9JCL210,0,1,0,0,0,1,0,1,1,0,0
8JCL222,0,1,0,0,0,1,0,0,0,0,0
05JCL08,0,1,0,0,0,1,0,0,0,0,0
07JCL08,0,1,1,1,1,1,1,1,1,1,1
09JCL08,0,1,0,0,0,1,0,0,1,1,0
11JCL08,0,1,0,0,0,0,0,0,0,0,0
12JCL08,0,1,1,1,1,1,1,1,1,1,0
22JCL08,0,1,0,0,0,1,1,1,1,1,1
23JCL08,0,1,1,1,1,1,1,1,1,1,1
24JCL08,0,1,0,0,0,0,0,0,0,0,0
25JCL08,0,1,1,1,1,1,1,1,1,1,0
26JCL08,0,1,1,1,1,1,1,1,1,1,0
27JCL08,0,1,1,1,1,1,1,1,1,1,1
28JCL08,0,1,1,1,1,1,1,1,1,1,1
29JCL08,0,1,0,0,0,0,0,0,0,0,0
30JCL08,0,1,1,1,1,1,1,1,1,1,1
32JCL08,0,1,1,1,1,1,1,1,1,1,1
113H1,0,1,1,1,1,1,1,1,1,1,1
113H10,0,1,1,1,1,1,1,1,1,1,1
113H11,0,1,1,1,1,1,1,1,1,1,1
113H12,0,1,1,1,1,1,1,1,1,1,1
113H13,0,1,1,1,1,1,1,1,1,1,1
113H14,0,1,1,1,0,1,1,1,1,0,0
113H15,0,0,1,1,1,1,1,1,1,1,0
113H16,0,1,1,1,1,1,1,1,1,0,1
113H17,0,1,1,1,1,1,1,1,1,1,0
113H18,0,1,1,1,0,1,1,1,1,1,1
113H19,0,1,1,1,1,1,1,1,1,1,1
113H2,0,1,1,1,1,1,1,1,1,1,1
113H20,0,1,1,1,1,1,1,1,1,1,1
113H21,0,1,1,1,1,1,0,0,0,0,0
113H22,0,1,1,1,1,1,0,1,0,0,0
113H23,0,1,1,1,1,1,1,1,1,1,1
113H24,0,1,1,1,1,1,1,1,1,1,1
113H25,0,1,1,1,1,1,1,1,1,1,0
113H26,0,1,1,1,1,1,1,1,1,1,1
113H27,0,1,1,1,1,1,1,1,1,1,1
113H28,0,1,1,1,1,1,1,1,1,1,1
113H29,0,1,1,1,1,1,1,1,1,1,1
113H3,0,1,1,1,1,1,1,1,1,1,1
113H4,0,1,1,1,1,1,1,1,1,1,1
113H5,0,1,1,1,1,1,1,1,1,1,1
113H6,0,1,1,1,1,1,1,1,1,1,1
113H7,0,1,1,1,1,1,1,1,1,1,1
11JCL06,0,1,1,1,1,0,0,0,0,0,0
14JCL06,0,1,0,0,0,1,1,1,0,0,0
16JCL06,0,1,0,0,0,1,1,1,1,1,1
17JCL06,0,1,1,1,1,1,1,1,1,1,1
19JCL06,0,1,1,1,1,1,1,1,1,1,1
20JCL06,0,0,0,0,0,0,0,0,0,0,0
21JCL06,0,1,0,0,0,0,0,0,0,0,0
22JCL06,0,1,0,0,0,0,0,0,0,0,0
24JCL06,0,1,0,0,0,1,0,1,1,0,0
25JCL06,0,1,0,0,0,1,1,1,0,0,0
26JCL06,0,1,1,1,1,1,1,1,1,1,1
32JCL06,0,0,0,0,0,0,0,0,0,0,0
6JCL06,0,1,1,1,1,1,1,1,1,1,1
7JCL06,0,1,1,1,1,1,1,1,1,1,1
8JCL06,0,1,1,1,1,1,1,1,1,1,1
16JCL220,0,1,1,1,1,1,1,1,1,1,0
18JCL220,0,1,1,1,1,1,1,1,1,1,1
1JCL220,0,1,1,1,1,1,1,1,1,1,0
21JCL220,0,0,0,0,0,1,1,1,1,1,0
22JCL220,0,1,1,1,1,1,1,1,1,1,1
23JCL220,0,1,1,1,1,1,1,1,1,1,0
