ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
296980054,0,1,1,1,1,1,1,1,1,0
296980230,0,0,1,1,0,1,1,0,1,1
296985868,0,1,1,1,0,1,1,0,0,0
296987883,0,0,1,1,0,1,1,0,1,1
296992083,0,1,1,1,1,1,1,1,1,1
296992092,0,1,1,1,0,1,1,0,1,1
296992330,0,1,1,1,1,1,1,1,1,1
296992911,0,1,1,1,1,1,1,1,1,1
296993025,0,1,1,1,0,1,1,0,1,1
296993206,0,0,1,1,0,0,0,0,0,0
296993937,0,1,1,0,0,0,0,0,0,0
296994501,0,0,0,1,0,1,1,0,0,0
296995170,0,1,1,0,0,1,0,0,0,0
296997625,0,0,1,1,0,1,1,0,1,1
296997754,0,1,1,1,0,1,1,0,1,1
296999547,0,1,1,1,0,1,1,0,1,0
297002318,0,1,1,1,0,1,1,0,1,1
297002364,0,1,1,1,0,1,1,0,0,0
297002373,0,1,1,1,0,1,1,0,1,1
297002480,0,1,1,1,0,1,1,0,1,1
297002836,0,1,1,1,0,1,1,0,1,1
297002980,0,1,1,0,0,1,0,0,0,0
297003053,0,1,1,1,0,1,1,0,1,1
