ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
309932203,0,1,1,1,0,1,1,0,1,1
309937931,0,1,1,1,1,1,1,1,1,1
309938131,0,1,1,1,0,1,1,0,1,1
309938723,0,1,1,1,1,1,1,1,1,1
309938833,0,1,1,1,1,1,0,0,0,0
309939058,0,1,1,1,1,1,1,1,1,0
309939371,0,1,1,1,1,1,1,1,1,1
309939387,0,1,1,1,1,0,1,0,0,0
309939547,0,1,1,1,1,1,1,1,1,1
309939761,0,1,1,1,1,1,1,1,1,1
309939809,0,1,1,1,1,1,1,1,1,1
309939883,0,1,1,1,1,1,0,0,0,0
309940480,0,1,1,1,1,1,1,1,1,1
309940770,0,1,1,1,0,1,1,0,1,1
309942133,0,1,1,1,1,1,1,1,1,1
309942526,0,1,1,1,1,1,1,1,1,1
309944213,0,1,1,1,1,1,1,1,1,1
309945053,0,1,1,1,1,1,1,1,1,1
309945819,0,1,1,0,1,0,1,0,0,0
309946096,0,1,1,1,1,1,1,1,1,1
309950026,0,1,1,1,0,1,1,0,1,1
309950028,0,1,1,1,0,1,1,0,1,0
309950506,0,1,1,1,1,1,1,1,1,1
310305047,0,1,1,1,0,1,1,0,1,1
312019225,0,1,1,1,0,1,1,0,1,1
313859624,0,1,1,1,1,1,0,0,0,0
314344909,0,1,1,1,1,1,1,1,1,1
314352514,0,1,1,1,1,1,1,1,1,1
314353239,0,1,1,1,1,1,1,1,1,1
