ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
303984019,0,1,1,1,1,0,1,0,1,1
303984176,0,1,1,1,1,1,1,1,0,0
303984565,0,1,1,1,1,1,1,1,0,0
303984602,0,1,1,1,1,1,1,1,1,0
303984608,0,1,1,1,1,0,1,0,0,0
303984628,0,1,1,1,0,1,1,0,1,1
303984642,0,1,1,1,0,1,1,0,1,0
303984649,0,1,1,0,1,0,0,0,0,0
303984654,0,1,1,0,0,0,0,0,0,0
303984667,0,1,1,1,0,1,1,0,0,0
303984673,0,1,1,1,1,1,1,1,0,0
303984698,0,1,0,1,0,1,1,0,0,0
303984699,0,1,1,1,1,1,0,0,0,0
303984711,0,1,1,0,0,1,1,0,0,0
303984736,0,1,1,0,1,1,0,0,0,0
303984806,0,1,1,1,1,1,1,1,1,0
303984840,0,1,1,0,0,0,0,0,0,0
303984911,0,1,1,1,1,1,1,1,1,1
303984929,0,1,1,1,0,1,1,0,1,1
303985267,0,1,1,1,1,1,1,1,1,0
303985322,0,1,1,0,0,0,1,0,0,0
303985928,0,1,1,0,0,0,0,0,0,0
303988729,0,1,1,0,0,0,0,0,0,0
303989659,0,1,1,1,0,1,0,0,0,0
