ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
291839489,0,1,1,0,0,0,0,0,0,0
291839625,0,1,1,1,1,1,1,1,1,1
291839671,0,1,1,1,1,1,1,1,0,0
291839735,0,1,1,1,1,1,1,1,1,1
291839839,0,1,1,1,1,1,1,1,0,0
291839931,0,1,1,1,1,1,1,1,1,1
291839969,0,1,1,1,1,1,1,1,1,1
291839975,0,1,1,1,1,1,1,1,1,0
291840023,0,1,1,1,1,1,1,1,1,1
291840056,0,1,1,1,1,1,1,1,1,1
291840062,0,1,1,1,0,1,1,0,0,0
291840204,0,1,1,1,1,1,1,1,0,0
291840234,0,1,1,1,1,1,0,0,0,0
291840268,0,1,1,1,1,1,1,1,1,0
291840279,0,1,1,1,0,1,1,0,1,1
291840288,0,1,1,1,0,1,1,0,1,1
291840371,0,1,1,1,1,1,1,1,1,1
291840375,0,1,1,1,1,1,1,1,1,1
291840386,0,1,1,1,1,1,1,1,1,1
291840521,0,1,1,1,1,1,0,0,0,0
291840580,0,1,1,1,1,1,1,1,1,0
291840652,0,1,1,1,1,1,0,0,0,0
291840694,0,1,1,1,1,1,1,1,1,1
291840738,0,1,1,1,1,1,1,1,1,1
291840758,0,1,1,1,1,1,1,1,1,1
291840791,0,1,1,1,1,1,1,1,1,1
291841497,0,1,1,1,1,1,1,1,1,1
291841654,0,1,1,1,1,1,0,0,0,0
291841837,0,1,1,1,0,1,1,0,1,1
