ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
307960072,0,1,1,1,0,1,1,0,1,1
307960943,0,1,1,0,1,0,1,0,0,0
307960945,0,1,1,0,0,1,0,0,0,0
307960957,0,1,1,1,1,1,1,1,0,0
307960981,0,1,1,0,0,0,0,0,0,0
307960984,0,1,1,1,1,0,1,0,1,1
307960992,0,1,1,1,1,1,1,1,1,1
307960993,0,1,1,1,1,1,1,1,0,0
307961038,0,1,1,0,0,1,0,0,0,0
307961081,0,1,1,0,1,0,0,0,0,0
307961152,0,1,1,0,1,0,0,0,0,0
307962047,0,1,1,0,1,0,0,0,0,0
307962382,0,1,1,1,0,1,1,0,1,1
307964192,0,1,1,0,1,0,0,0,0,0
307964728,0,1,1,1,1,1,1,1,1,0
307964944,0,1,1,0,0,0,0,0,0,0
307966161,0,1,1,0,1,1,0,0,0,0
307967455,0,1,1,0,1,1,0,0,0,0
307971271,0,1,1,0,1,0,0,0,0,0
