ID,Error grading project,Background has an image.,There are at least 3 sprites.,Chosen sprite has a loop.,Chosen sprite moves.,Chosen sprite changes costume.,Chosen sprite has a wait block.,Chosen sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
115H1,0,1,1,0,0,0,0,0,0,0
115H10,0,1,1,1,0,1,1,0,0,0
115H11,0,1,1,1,1,1,0,0,0,0
115H12,0,1,1,1,1,1,0,0,0,0
115H14,0,1,1,1,1,1,1,1,1,0
115H15,0,1,1,1,0,1,1,0,1,0
115H16,0,1,1,1,1,1,1,1,1,1
115H17,0,1,1,1,1,1,1,1,0,0
115H18,0,1,1,1,1,1,1,1,0,0
115H2,0,1,1,1,0,1,1,0,0,0
115H21,0,1,1,1,1,1,1,1,0,0
115H23,0,1,1,1,1,0,1,0,0,0
115H25,0,1,1,1,1,1,0,0,0,0
115H26,0,1,1,1,0,1,1,0,0,0
115H27,0,1,1,1,0,1,1,0,1,1
115H28,0,1,1,1,0,1,1,0,0,0
115H29,0,1,1,1,0,1,0,0,0,0
115H3,0,1,1,1,0,1,1,0,0,0
115H4,0,1,1,1,1,1,1,1,1,0
115H5,0,1,1,1,1,1,1,1,1,1
115H6,0,1,1,1,1,1,1,1,0,0
115H7,0,1,1,1,1,1,1,1,1,1
115H8,0,1,1,1,1,1,1,1,1,1
115H9,0,1,1,1,1,1,0,0,0,0
115H1,0,1,1,0,0,0,0,0,0,0
115H10,0,1,1,1,0,1,1,0,0,0
115H11,0,1,1,1,1,1,0,0,0,0
115H12,0,1,1,1,1,1,0,0,0,0
115H14,0,1,1,1,1,1,1,1,1,0
115H15,0,1,1,1,0,1,1,0,1,0
115H16,0,1,1,1,1,1,1,1,1,1
115H17,0,1,1,1,1,1,1,1,0,0
115H18,0,1,1,1,1,1,1,1,0,0
115H2,0,1,1,1,0,1,1,0,0,0
115H21,0,1,1,1,1,1,1,1,0,0
115H23,0,1,1,1,1,0,1,0,0,0
115H25,0,1,1,1,1,1,0,0,0,0
115H26,0,1,1,1,0,1,1,0,0,0
115H27,0,1,1,1,0,1,1,0,1,1
115H28,0,1,1,1,0,1,1,0,0,0
115H29,0,1,1,1,0,1,0,0,0,0
115H3,0,1,1,1,0,1,1,0,0,0
115H4,0,1,1,1,1,1,1,1,1,0
115H5,0,1,1,1,1,1,1,1,1,1
115H6,0,1,1,1,1,1,1,1,0,0
115H7,0,1,1,1,1,1,1,1,1,1
115H8,0,1,1,1,1,1,1,1,1,1
115H9,0,1,1,1,1,1,0,0,0,0
115H1,0,1,1,0,0,0,0,0,0,0
115H10,0,1,1,1,0,1,1,0,0,0
115H11,0,1,1,1,1,1,0,0,0,0
115H12,0,1,1,1,1,1,0,0,0,0
115H14,0,1,1,1,1,1,1,1,1,0
115H15,0,1,1,1,0,1,1,0,1,0
115H16,0,1,1,1,1,1,1,1,1,1
115H17,0,1,1,1,1,1,1,1,0,0
115H18,0,1,1,1,1,1,1,1,0,0
115H2,0,1,1,1,0,1,1,0,0,0
115H21,0,1,1,1,1,1,1,1,0,0
115H23,0,1,1,1,1,0,1,0,0,0
115H25,0,1,1,1,1,1,0,0,0,0
115H26,0,1,1,1,0,1,1,0,0,0
115H27,0,1,1,1,0,1,1,0,1,1
115H28,0,1,1,1,0,1,1,0,0,0
115H29,0,1,1,1,0,1,0,0,0,0
115H3,0,1,1,1,0,1,1,0,0,0
115H4,0,1,1,1,1,1,1,1,1,0
115H5,0,1,1,1,1,1,1,1,1,1
115H6,0,1,1,1,1,1,1,1,0,0
115H7,0,1,1,1,1,1,1,1,1,1
115H8,0,1,1,1,1,1,1,1,1,1
115H9,0,1,1,1,1,1,0,0,0,0
