Grade,Teacher ID,Studio ID,Class Completion
4,E,18607820 (n=27),82.3045267489712
5,C,18439663 (n=24),82.4074074074074
5,E,18613583 (n=29),78.9272030651341
5,H,19413475 (n=28),76.98412698412699
6,D,18411516 (n=29),85.82375478927203
6,F,19415654 (n=23),66.66666666666667
6,F,19440612 (n=5),77.77777777777777
6,H,19424240 (n=29),85.82375478927203
7,A,20140106 (n=18),74.07407407407408
7,B,18403415 (n=24),58.333333333333336
7,B,18607854 (n=26),46.15384615384615
7,D,18429685 (n=29),83.9080459770115
7,I,19461736 (n=19),52.046783625730995
7,J,19445746 (n=20),49.44444444444444
8,D,18400379 (n=24),81.48148148148148
8,I,19449165 (n=21),63.492063492063494
