ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
318924980,0,1,0,0,0
318925027,0,1,0,0,0
318925056,0,1,0,0,0
318925077,0,0,0,0,0
318925129,0,0,1,1,1
318925144,0,0,0,0,0
318925156,0,1,0,0,0
318925188,0,1,0,0,0
318925250,0,0,0,0,0
318925272,0,1,0,0,0
318925299,0,1,1,1,0
318925363,0,1,1,1,1
318925396,0,1,0,0,0
318925415,0,0,0,0,0
318925442,0,1,1,1,0
318925540,0,1,1,1,1
318925596,0,1,1,1,0
318925608,0,1,0,0,0
318925642,0,0,0,0,0
318925663,0,0,0,0,0
318925690,0,1,0,0,0
318925717,0,1,0,0,0
318925732,0,1,1,0,0
318925752,0,1,1,0,0
318925764,0,1,1,1,1
318925783,0,0,0,0,0
318925794,0,1,1,1,1
318925816,0,1,1,1,1
318925857,0,1,0,0,0
318925883,0,1,0,0,0
318925916,0,1,1,1,0
