ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
319528000,0,0,0,0,0
319528213,0,1,1,1,1
319528248,0,0,0,0,0
319528270,0,1,1,1,0
319528303,0,1,1,1,1
319528329,0,1,1,1,0
319528357,0,1,1,1,1
319528549,0,0,0,0,0
319528573,0,1,1,1,1
319528605,0,1,1,0,1
319528620,0,1,1,1,0
319528638,0,1,1,1,1
319528656,0,0,0,0,0
319528680,0,0,0,0,0
319528707,0,1,0,0,0
319528734,0,0,0,0,0
319528749,0,0,0,0,0
319528767,0,0,0,0,0
319528791,0,0,0,0,0
319528811,0,0,0,0,0
319530338,0,1,1,0,0
