ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
291144810,0,0,0,0,0
291145095,0,0,0,0,0
291147940,0,1,1,0,0
291149725,0,1,1,1,1
291150081,0,1,0,0,0
291150082,0,1,1,1,0
291150192,0,1,1,1,1
291150209,0,0,0,0,0
291150318,0,0,0,0,0
291150325,0,0,0,0,0
291150695,0,0,0,0,0
291151070,0,0,0,0,0
291151111,0,0,0,0,0
291151178,0,1,1,1,1
291151291,0,0,0,0,0
291151772,0,0,0,0,0
291151845,0,0,0,0,0
291152427,0,0,0,0,0
291152558,0,0,0,0,0
291153626,0,0,0,0,0
291154143,0,0,0,0,0
291154285,0,0,0,0,0
291154298,0,0,0,0,0
291154323,0,1,0,0,0
291154367,0,0,0,0,0
291154578,0,0,0,0,0
291155008,0,0,0,0,0
291155153,0,0,0,0,0
291155808,0,1,0,0,0
