ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
286562962,0,1,1,1,1
286580379,0,1,1,1,1
286580431,0,1,1,1,1
286581749,0,1,0,0,0
286581858,0,1,1,1,0
286581859,0,0,0,0,0
286581869,0,1,1,1,1
286581882,0,1,1,1,1
286581889,0,1,1,1,0
286581905,0,1,1,1,1
286581922,0,1,1,1,1
286581933,0,1,1,1,0
286581972,0,1,1,1,0
286582030,0,0,0,0,0
286582054,0,0,0,0,0
286582079,0,1,1,1,1
286582096,0,1,1,0,1
286582259,0,1,0,0,0
286582490,0,1,1,1,1
286582510,0,1,1,1,0
286582517,0,1,1,1,1
286582871,0,1,0,0,0
286583898,0,1,1,0,1
286585495,0,0,0,0,0
287928381,0,1,1,0,0
