ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
286290394,0,0,0,0,0
287880540,0,1,0,0,0
287887004,0,1,1,1,0
287887358,0,0,0,0,0
287892960,0,1,1,0,1
287895656,0,1,1,1,1
287895800,0,0,0,0,0
289595146,0,1,1,1,1
289595160,0,1,1,1,1
289595170,0,0,0,0,0
289595186,0,1,0,0,0
289595362,0,0,0,0,0
289595503,0,0,0,0,0
289595682,0,0,0,0,0
289595891,0,0,0,0,0
289595900,0,1,0,0,0
289596398,0,0,0,0,0
289597158,0,0,0,0,0
289608004,0,0,0,0,0
