ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
2oo1sgr8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
adastra28,0,1,1,1,1,1,1,1,1,1,1,1,1,1
basketballfan1000,0,1,1,0,1,0,1,0,0,0,1,0,0,0
birds605,0,1,1,1,1,1,1,1,1,1,1,1,1,1
blaze703570,0,1,1,1,0,1,1,1,0,1,1,1,0,1
catsareawesome789,0,1,1,1,1,1,1,1,1,1,1,1,1,1
christmas3000,0,1,1,1,1,1,1,1,1,1,1,1,1,1
clover7777,1,0,0,0,0,0,0,0,0,0,0,0,0,0
doggys332,0,1,1,1,1,1,1,1,1,1,1,1,1,1
flyingunicorn2468,0,1,1,1,1,0,1,0,0,0,1,1,1,0
kingasparta35,0,1,1,1,1,1,1,1,1,1,1,1,1,1
kittyqueen231,0,1,1,1,1,1,1,1,1,1,1,1,1,1
luckystargirl09,0,1,1,1,1,1,1,0,1,0,1,0,1,0
panda48000,0,1,1,1,1,1,1,1,0,1,1,0,0,0
penguin88835,0,1,1,1,1,1,1,1,1,1,1,1,1,1
raspberry2000,0,1,1,1,1,1,1,1,1,1,1,1,1,1
redbirdmoney3,0,1,1,0,1,0,1,0,0,0,1,1,0,0
redhero59,0,1,1,1,1,1,1,0,0,0,1,1,1,1
schoolno3411,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shark730,0,1,1,1,1,1,1,1,1,1,1,1,1,1
tigergirl1156,0,1,1,1,1,1,1,1,1,1,1,1,1,0
turtleshavetails123,0,1,1,1,1,1,1,1,1,1,1,1,1,1
unicorn5087,0,1,1,1,0,1,1,1,1,1,1,1,0,1
