ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
10JCL219,0,1,1,0,0,0,0,0,0
11JCL219,0,1,1,0,0,0,0,0,0
12JCL219,0,1,1,1,0,1,1,0,1
13JCL219,0,1,1,1,1,1,1,1,1
14JCL219,0,1,1,1,1,1,1,1,1
15JCL219,0,1,1,1,0,0,1,0,0
16JCL219,0,1,1,0,0,0,0,0,0
17JCL219,0,1,1,0,0,0,0,0,0
18JCL219,0,1,1,0,0,1,0,0,1
19JCL219,0,1,0,1,0,0,1,0,0
1JCL219,0,1,1,1,1,1,1,1,1
20JCL219,0,1,0,1,1,0,1,1,0
22JCL219,0,1,1,1,0,0,1,0,0
24JCL219,0,1,0,1,0,0,1,0,0
25JCL219,0,1,1,0,0,0,0,0,0
26JCL219,0,0,1,0,0,0,0,0,0
2JCL219,0,1,0,0,0,0,0,0,0
4JCL219,0,1,1,0,0,0,0,0,0
6JCL219,0,1,1,1,1,0,1,1,0
7JCL219,0,1,0,1,0,0,1,0,0
8JCL219,0,1,1,0,0,0,0,0,0
