ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
315006691,0,1,1,1,0,0,1,0,0,1
315008112,0,1,1,1,1,1,1,1,1,1
315011257,0,1,1,1,1,1,1,1,1,1
315012417,0,1,1,1,1,0,1,1,1,0
315012785,0,1,1,1,0,0,1,0,0,0
315014081,0,1,1,1,1,1,1,1,1,1
315014970,0,1,1,1,1,0,1,1,0,1
315516218,0,1,0,0,0,0,0,0,0,0
315516380,0,1,1,1,1,0,1,1,0,1
315516606,0,1,0,1,1,0,1,1,0,0
315516821,0,1,1,1,1,1,1,1,1,1
315517150,0,1,1,1,1,0,1,1,0,1
315517156,0,1,1,1,1,1,1,1,1,1
316348597,0,1,1,0,0,0,0,0,0,0
316349179,0,1,1,0,0,0,0,0,0,1
316349570,0,1,1,0,0,0,0,0,0,0
316349713,0,1,1,0,0,0,0,0,0,0
316349720,0,1,1,1,1,1,1,1,1,0
316353105,0,1,1,0,0,0,0,0,0,1
316356173,0,1,0,1,0,0,1,0,0,0
316356348,0,1,1,0,0,0,0,0,0,0
316579863,0,1,1,0,0,0,0,0,0,0
316793287,0,1,0,0,0,0,0,0,0,0
