ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
293072889,0,1,1,0,0,0,1,0,0,0
293073529,0,1,1,1,1,1,1,1,1,0
293073908,0,1,0,0,0,0,0,0,0,0
293073921,0,1,1,0,0,0,0,0,0,1
293074320,0,1,1,0,0,0,0,0,0,0
293074381,0,1,1,0,0,0,0,0,0,0
293074504,0,1,1,0,0,0,0,0,0,1
293074724,0,1,1,0,0,0,0,0,0,0
293075798,0,1,1,0,0,0,0,0,0,0
293076199,0,1,1,0,0,0,0,0,0,0
293076239,0,1,1,0,0,0,0,0,0,0
293076314,0,1,1,0,0,0,0,0,0,0
293076371,0,1,0,0,0,0,0,0,0,0
293076894,0,1,1,0,0,0,0,0,0,0
293076914,0,1,1,0,0,0,0,0,0,0
293076967,0,1,1,0,0,0,0,0,0,0
293076986,0,1,1,1,0,0,1,0,0,1
293077205,0,1,1,0,0,0,0,0,0,0
293077326,0,1,1,0,0,0,0,0,0,0
293077578,0,1,1,0,0,0,0,0,0,0
293077754,0,1,1,0,0,0,0,0,0,0
293078212,0,1,1,0,0,0,0,0,0,0
293078218,0,0,0,0,0,0,0,0,0,0
293078507,0,1,0,0,0,0,0,0,0,0
293078543,0,1,0,0,0,0,0,0,0,0
293079258,0,1,0,0,0,0,0,0,0,0
293080007,0,1,1,0,0,0,0,0,0,0
293080915,0,1,1,0,0,0,0,0,0,0
294975718,0,1,0,0,0,0,0,0,0,0
