ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
284844965,0,1,1,1,1,1,1,1,1,0
288162468,0,1,1,1,1,1,1,1,1,1
288162535,0,1,1,1,1,1,1,1,1,1
288162748,0,1,1,1,1,1,1,1,1,1
288162765,0,1,1,0,0,0,0,0,0,0
288162802,0,1,1,1,1,1,1,1,1,0
288162852,0,1,1,1,1,1,1,1,1,1
288162884,0,1,1,1,1,1,1,1,1,1
288162904,0,1,1,1,1,1,1,1,1,1
288162906,0,1,1,1,1,1,1,1,1,0
288163289,0,1,1,1,1,1,1,1,1,0
288163354,0,1,1,1,1,1,1,1,1,1
288163389,0,1,0,1,1,0,1,1,0,0
288163434,0,1,1,0,0,0,0,0,0,0
288163439,0,1,1,1,1,1,1,1,1,1
288163440,0,1,1,1,1,1,1,1,1,1
288163712,0,1,1,0,0,0,0,0,0,0
288163756,0,1,1,1,1,1,1,1,1,1
288163824,0,1,1,1,1,1,1,1,1,1
288163836,0,1,1,1,1,1,1,1,1,0
288163849,0,1,1,1,1,1,1,1,1,0
288163984,0,1,1,1,1,1,1,1,1,1
288166463,0,1,1,0,0,0,0,0,0,0
288176394,0,1,1,1,1,1,1,1,1,1
288176396,0,1,1,0,0,0,0,0,0,1
