ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
RC7A10,0,1,1,0,0,0,0,0,0
RC7A11,0,1,1,0,1,1,0,1,1
RC7A12,0,1,1,0,0,0,0,0,0
RC7A13,0,1,1,0,0,0,0,0,0
RC7A14,0,1,1,0,1,1,0,1,1
RC7A15,0,1,1,0,0,0,0,0,0
RC7A16,0,1,1,0,0,0,0,0,0
RC7A17,0,1,1,0,0,0,0,0,0
RC7A18,0,1,1,1,1,1,1,1,1
RC7A19,0,0,1,0,0,0,0,0,0
RC7A2,0,1,0,0,0,0,0,0,0
RC7A20,0,1,1,1,1,1,1,1,1
RC7A21,0,1,1,0,0,0,0,0,0
RC7A22,0,1,1,0,0,0,0,0,0
RC7A23,0,1,1,1,1,1,1,1,1
RC7A24,0,0,1,1,0,0,1,0,0
RC7A25,0,1,1,0,0,0,0,0,0
RC7A26,0,1,0,0,0,0,0,0,0
RC7A27,0,1,1,0,0,0,0,0,0
RC7A28,0,1,1,0,0,0,0,0,0
RC7A3,0,0,0,0,0,0,0,0,0
RC7A30,0,1,1,1,1,0,1,1,0
RC7A31,0,1,1,1,1,0,1,1,0
RC7A32,0,1,1,0,0,0,0,0,0
RC7A4,0,1,1,1,1,0,1,1,0
RC7A6,0,1,1,0,0,1,0,0,1
RC7A7,0,0,0,0,0,0,0,0,0
RC7A8,0,0,0,0,0,0,0,0,0
RC7A9,0,1,1,0,0,0,0,0,0
RC7B1,0,1,1,0,0,0,0,0,0
RC7B10,0,1,1,1,1,1,1,1,1
RC7B11,0,1,1,0,0,0,0,0,0
RC7B12,0,1,1,0,0,0,0,0,0
RC7B13,0,1,0,0,0,0,0,0,0
RC7B14,0,1,0,0,0,0,0,0,0
RC7B15,0,1,1,0,0,0,0,0,0
RC7B16,0,1,1,0,0,0,0,0,0
RC7B17,0,1,0,0,0,0,0,0,0
RC7B18,0,1,1,0,0,0,0,0,0
RC7B19,0,1,1,0,0,0,0,0,0
RC7B2,0,0,0,0,0,0,0,0,0
RC7B20,0,1,1,0,0,0,0,0,0
RC7B21,0,1,1,0,1,0,0,1,0
RC7B24,0,1,1,0,0,0,0,0,0
RC7B25,0,1,1,0,0,0,0,0,0
RC7B26,0,1,1,0,0,0,0,0,0
RC7B27,0,1,0,0,0,0,0,0,0
RC7B28,0,1,0,0,0,0,0,0,0
RC7B29,0,1,1,0,0,0,0,0,0
RC7B3,0,1,1,0,0,0,0,0,0
RC7B30,0,1,1,0,0,0,0,0,0
RC7B31,0,1,1,0,0,0,0,0,0
RC7B4,0,0,0,0,0,0,0,0,0
RC7B5,0,1,1,0,0,0,0,0,0
RC7B6,0,1,1,0,0,0,0,0,0
RC7B7,0,1,1,0,0,0,0,0,0
RC7B8,0,1,1,0,0,0,0,0,0
RC7B9,0,1,1,0,0,0,0,0,0
